scf0	case	chi2like_quadratic_H67	chi2like_quadratic_H726	delta_H67_minus_H726	sign_delta	rs_fixed	rs_H67_native	rs_H726_native	alpha_H67_global	alpha_H726_global	alpha_H67_DM_DV_proxy	alpha_H67_DH_proxy	alpha_H726_DM_DV_proxy	alpha_H726_DH_proxy	status
0.048	A_native_rs	91.18000480574314	79.47682374174913	11.703181063994009	POS_H726_FAVORED		142.882264409	137.604058834							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.048	B_common_fixed_rs	56.00240687281392	891.5985575426406	-835.5961506698267	NEG_H67_FAVORED	147.0	142.882264409	137.604058834							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.048	C1_global_alpha	44.136415458771985	35.903305971840126	8.233109486931859	POS_H726_FAVORED		142.882264409	137.604058834	0.9813531714078576	1.018626968685853					NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.048	C2_two_group_alpha_proxy	28.98028991391842	24.845510385184763	4.134779528733656	POS_H726_FAVORED		142.882264409	137.604058834			0.96995656305044	1.0026797984616327	1.0084932717449757	1.0374691763808699	NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.049	A_native_rs	91.17842156681259	79.4876176192577	11.690803947554883	POS_H726_FAVORED		142.881970189	137.60377287							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.049	B_common_fixed_rs	56.01678785044068	891.668488600271	-835.6517007498303	NEG_H67_FAVORED	147.0	142.881970189	137.60377287							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.049	C1_global_alpha	44.142151329297846	35.90811885755271	8.234032471745138	POS_H726_FAVORED		142.881970189	137.60377287	0.9813545945646299	1.0186282711940151					NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.049	C2_two_group_alpha_proxy	28.983142140580767	24.847950889206686	4.135191251374081	POS_H726_FAVORED		142.881970189	137.60377287			0.969956907167728	1.0026833300725408	1.0084934928047053	1.0374725654766945	NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.05	A_native_rs	91.17688565570315	79.49861245175467	11.678273203948478	POS_H726_FAVORED		142.881667507	137.60347893							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.05	B_common_fixed_rs	56.03147573040436	891.7400288151246	-835.7085530847202	NEG_H67_FAVORED	147.0	142.881667507	137.60347893							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.05	C1_global_alpha	44.1480085664127	35.91304276957655	8.23496579683615	POS_H726_FAVORED		142.881667507	137.60347893	0.9813560322300502	1.0186295932012523					NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.05	C2_two_group_alpha_proxy	28.9860546652934	24.850447674137236	4.135606991156163	POS_H726_FAVORED		142.881667507	137.60347893			0.9699572432290734	1.0026869203163402	1.008493708632711	1.0374760218127457	NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.051	A_native_rs	91.17527841447674	79.50978547678416	11.665492937692576	POS_H726_FAVORED		142.881359882	137.603181548							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.051	B_common_fixed_rs	56.04646422910014	891.8125752017643	-835.7661109726641	NEG_H67_FAVORED	147.0	142.881359882	137.603181548							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.051	C1_global_alpha	44.15398464040151	35.91803619663623	8.235948443765281	POS_H726_FAVORED		142.881359882	137.603181548	0.9813575069993024	1.0186309387818568					NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.051	C2_two_group_alpha_proxy	28.98902626141173	24.85297964339982	4.13604661801191	POS_H726_FAVORED		142.881359882	137.603181548			0.9699575940538606	1.0026905913290778	1.0084939324629645	1.037479531780179	NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.052	A_native_rs	91.1736280152449	79.52124775970226	11.652380255542639	POS_H726_FAVORED		142.881046522	137.602877827							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.052	B_common_fixed_rs	56.06175355965592	891.886841976117	-835.8250884164611	NEG_H67_FAVORED	147.0	142.881046522	137.602877827							NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.052	C1_global_alpha	44.16007961334806	35.92314833563943	8.236931277708628	POS_H726_FAVORED		142.881046522	137.602877827	0.9813590134127328	1.0186323214011361					NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
0.052	C2_two_group_alpha_proxy	28.99205694814573	24.85557179972783	4.136485148417901	POS_H726_FAVORED		142.881046522	137.602877827			0.9699579542366331	1.002694337551576	1.0084941667393812	1.0374831301108098	NUMERIC_GLS_QUADRATIC_ONLY_NOT_LIKELIHOOD_NOT_POSTERIOR_NOT_K2
